id,title,category,score,comments,author,time
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,20,3,zaikunzhang,2026-04-05 17:10
47640728,Show HN: A game where you build a GPU,sports,786,161,Jaso1024,2026-04-05 17:10
47645432,Introduction to Computer Music (2009) [pdf],entertainment,169,53,luu,2026-04-05 17:10
47590230,Costco sued for seeking refunds on tariffs customers paid,technology,11,1,AdmiralAsshat,2026-04-05 17:10
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,16,1,lexalizer,2026-04-05 17:11
47613118,Show HN: I built a small app for FSI German Course,entertainment,39,13,syedmsawaid,2026-04-05 17:11
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,115,11,kaipereira,2026-04-05 17:11
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,164,79,jrandolf,2026-04-05 17:11
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,77,33,waveywaves,2026-04-05 17:11
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,95,15,laszlokorte,2026-04-05 17:11
47637757,Embarrassingly simple self-distillation improves code generation,technology,607,182,Anon84,2026-04-05 17:11
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,154,6,teamchong,2026-04-05 17:11
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1050,798,firloop,2026-04-05 17:11
47606244,Training mRNA Language Models Across 25 Species for $165,technology,138,32,maziyar,2026-04-05 17:11
47611993,VR Realizes the Cyberspace Metaphor,science,14,11,dryadin,2026-04-05 17:12
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,13,1,andsoitis,2026-04-05 17:12
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,396,249,eichin,2026-04-05 17:12
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,55,15,ingenika,2026-04-05 17:12
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,36,22,1659447091,2026-04-05 17:12
47641615,Sopwith – 1984 Game (2000),sports,93,41,elvis70,2026-04-05 17:12
47645468,Writing Lisp is AI resistant and I'm sad,technology,69,71,djha-skin,2026-04-05 17:12
47625952,Show HN: I built a frontpage for personal blogs,entertainment,757,190,ramkarthikk,2026-04-05 17:12
47621792,Post Mortem: axios NPM supply chain compromise,technology,281,131,JeanMeche,2026-04-05 17:13
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",technology,5,2,rrvsh,2026-04-05 17:13
47624645,Show HN: Apfel – The free AI already on your Mac,technology,718,146,franze,2026-04-05 17:13
47616157,Software never had a soul,technology,18,16,firloop,2026-04-05 17:13
47633131,"Run Linux containers on Android, no root required",technology,212,82,politelemon,2026-04-05 17:13
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,169,148,lschueller,2026-04-05 17:13
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,394,148,denssumesh,2026-04-05 17:13
47622616,The Technocracy Movement of the 1930s,technology,166,135,lazydogbrownfox,2026-04-05 17:14
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,16,13,bring-shrubbery,2026-04-05 17:14
